省份,区域,双系统综合发展指数,排名
广东,东部,0.5590738259491104,1
上海,东部,0.4961830852998362,2
北京,东部,0.4292880085885738,3
江苏,东部,0.38701616135481276,4
浙江,东部,0.3453735956834786,5
四川,西部,0.295986453425753,6
山东,东部,0.29254401716528333,7
福建,东部,0.267976347755585,8
辽宁,东北,0.2618041063720342,9
安徽,中部,0.261666104869217,10
新疆,西部,0.25972546017416415,11
湖北,中部,0.2596977808540424,12
天津,东部,0.2576716952412221,13
重庆,西部,0.25230336892040484,14
湖南,中部,0.2520007944792304,15
山西,中部,0.2519340716365478,16
内蒙古,西部,0.24853353601791023,17
广西,西部,0.24374021175554952,18
黑龙江,东北,0.2434646173563259,19
江西,中部,0.24278726216827734,20
云南,西部,0.24118962861980642,21
贵州,西部,0.23322975500247994,22
青海,西部,0.23014152394634563,23
河南,中部,0.22371133519937658,24
吉林,东北,0.21876020002717983,25
河北,东部,0.2150598088562934,26
宁夏,西部,0.2106725836112177,27
海南,东部,0.2103256854136467,28
陕西,西部,0.20956826829917782,29
甘肃,西部,0.18597736844643048,30
