年份,省份,区域,低空经济指数,绿色交通指数,双系统综合发展指数,全国排名
2016,上海,东部,0.23922081034325976,0.4611570461405715,0.3501889282419156,1.0
2016,云南,西部,0.14292711003595354,0.26688577607955954,0.20490644305775654,14.0
2016,内蒙古,西部,0.19042091786138596,0.26201015501017966,0.2262155364357828,8.0
2016,北京,东部,0.2592839991797332,0.3977204599676107,0.3285022295736719,2.0
2016,吉林,东北,0.0940295389186696,0.28005923783140924,0.18704438837503942,20.0
2016,四川,西部,0.2020622632816954,0.22639466588898993,0.21422846458534267,12.0
2016,天津,东部,0.08730668610470393,0.34809584839029273,0.21770126724749833,10.0
2016,宁夏,西部,0.03065028272771492,0.3275704102652794,0.17911034649649715,24.0
2016,安徽,中部,0.09143981932181357,0.2762731859561615,0.18385650263898753,23.0
2016,山东,东部,0.19853910166195696,0.2530361451819432,0.22578762342195008,9.0
2016,山西,中部,0.22104600891368792,0.23805672343338005,0.229551366173534,7.0
2016,广东,东部,0.30233062279891865,0.32096580946339803,0.31164821613115834,3.0
2016,广西,西部,0.11961592895155361,0.2731033259186307,0.19635962743509214,16.0
2016,新疆,西部,0.13650839116108593,0.25537123439821796,0.19593981277965195,17.0
2016,江苏,东部,0.22655678584504835,0.31018547945142066,0.26837113264823453,4.0
2016,江西,中部,0.10345994563298999,0.278130530901087,0.1907952382670385,18.0
2016,河北,东部,0.14390739003105338,0.22731789273836345,0.1856126413847084,21.0
2016,河南,中部,0.10736234668927372,0.22073711076776176,0.16404972872851775,28.0
2016,浙江,东部,0.15509854684078098,0.31416443392969695,0.23463149038523895,5.0
2016,海南,东部,0.07063857464415044,0.27834285819803845,0.17449071642109443,26.0
2016,湖北,中部,0.1035016770802717,0.24818943073974123,0.17584555391000647,25.0
2016,湖南,中部,0.10806545504833744,0.24072695494376264,0.17439620499605005,27.0
2016,甘肃,西部,0.09116634470033282,0.2019838697321222,0.14657510721622752,30.0
2016,福建,东部,0.1215522038957807,0.30723381414620626,0.21439300902099348,11.0
2016,贵州,西部,0.10597608068909067,0.26255106981174353,0.1842635752504171,22.0
2016,辽宁,东北,0.16831483164766867,0.2921629668654334,0.23023889925655106,6.0
2016,重庆,西部,0.08529347185262683,0.2889986642374524,0.1871460680450396,19.0
2016,陕西,西部,0.09089880306064914,0.231248971505524,0.16107388728308658,29.0
2016,青海,西部,0.07076911051956641,0.32682707389473403,0.19879809220715022,15.0
2016,黑龙江,东北,0.15067214672756488,0.2731012083968554,0.21188667756221014,13.0
2017,上海,东部,0.24773649870089975,0.46888160137535356,0.35830905003812663,1.0
2017,云南,西部,0.14694308839346326,0.26484528637108856,0.2058941873822759,15.0
2017,内蒙古,西部,0.16503952049031814,0.2655167186280405,0.2152781195591793,10.0
2017,北京,东部,0.2480586329029702,0.40997314729813406,0.3290158901005521,3.0
2017,吉林,东北,0.08779724821503997,0.2821200552074029,0.18495865171122144,22.0
2017,四川,西部,0.20607182424142614,0.2331722868066171,0.21962205552402164,9.0
2017,天津,东部,0.05745418266669662,0.3565876695769254,0.207020926121811,14.0
2017,宁夏,西部,0.02747024995287423,0.33476548320237887,0.18111786657762655,24.0
2017,安徽,中部,0.09333737768361827,0.28114560964685187,0.18724149366523507,20.0
2017,山东,东部,0.20498595538484085,0.258374400039203,0.23168017771202193,6.0
2017,山西,中部,0.20073080829846565,0.24604944715788746,0.22339012772817657,8.0
2017,广东,东部,0.3651587386067066,0.32508397652487675,0.34512135756579165,2.0
2017,广西,西部,0.11634656879701032,0.2759705542997116,0.19615856154836098,18.0
2017,新疆,西部,0.1582864517504145,0.258208376125198,0.20824741393780624,13.0
2017,江苏,东部,0.2275507766582321,0.3156722600637059,0.271611518360969,4.0
2017,江西,中部,0.08849488852580613,0.2850030683873448,0.18674897845657545,21.0
2017,河北,东部,0.11773651330445331,0.23502403329332286,0.17638027329888809,26.0
2017,河南,中部,0.10097045442695439,0.22576484097504104,0.1633676477009977,29.0
2017,浙江,东部,0.1572533316124273,0.3194749262711123,0.23836412894176978,5.0
2017,海南,东部,0.06873034911035202,0.2833943737599695,0.17606236143516077,27.0
2017,湖北,中部,0.11253150169954572,0.2535301247903101,0.18303081324492793,23.0
2017,湖南,中部,0.10958716944554531,0.2465345479274782,0.17806085868651175,25.0
2017,甘肃,西部,0.09366103951874934,0.20716434672146658,0.15041269312010797,30.0
