阶段,省份,区域,双年度平均综合发展指数
2016-2017,上海,东部,0.3551504050005405
2016-2017,云南,西部,0.21392326844454695
2016-2017,内蒙古,西部,0.22956867307496157
2016-2017,北京,东部,0.3305282459453552
2016-2017,吉林,东北,0.1905605454970624
2016-2017,四川,西部,0.22477058360817448
2016-2017,天津,东部,0.21435515393430282
2016-2017,宁夏,西部,0.18417867288666856
2016-2017,安徽,中部,0.19045485558665134
2016-2017,山东,东部,0.2338599576754536
2016-2017,山西,中部,0.22977886362126318
2016-2017,广东,东部,0.3325483707567432
2016-2017,广西,西部,0.20263339838918806
2016-2017,新疆,西部,0.21081721588624902
2016-2017,江苏,东部,0.2760063783210396
2016-2017,江西,中部,0.19427471601690477
2016-2017,河北,东部,0.18487515496226112
2016-2017,河南,中部,0.16699161692087414
2016-2017,浙江,东部,0.2417661929734753
2016-2017,海南,东部,0.18039640003962604
2016-2017,湖北,中部,0.18452327019991027
2016-2017,湖南,中部,0.18163996746828254
2016-2017,甘肃,西部,0.15444979693267405
2016-2017,福建,东部,0.216926603059694
2016-2017,贵州,西部,0.20073583268568201
2016-2017,辽宁,东北,0.2337680989277364
2016-2017,重庆,西部,0.192954686871732
2016-2017,陕西,西部,0.17077858584605404
2016-2017,青海,西部,0.2079713961797983
2016-2017,黑龙江,东北,0.21923366173131476
2018-2019,上海,东部,0.3845835563758434
2018-2019,云南,西部,0.22211865859075475
2018-2019,内蒙古,西部,0.24209522553567633
2018-2019,北京,东部,0.34945343432835163
2018-2019,吉林,东北,0.20911034674433093
2018-2019,四川,西部,0.244307740481297
2018-2019,天津,东部,0.24094137313874195
2018-2019,宁夏,西部,0.1913228830194711
2018-2019,安徽,中部,0.200983695135936
2018-2019,山东,东部,0.24279846743028177
2018-2019,山西,中部,0.2597986865797787
2018-2019,广东,东部,0.390608474375126
2018-2019,广西,西部,0.2140915510807857
2018-2019,新疆,西部,0.22813542443045814
2018-2019,江苏,东部,0.2912273155945954
2018-2019,江西,中部,0.20627937340436567
2018-2019,河北,东部,0.20275866927977562
2018-2019,河南,中部,0.18283599516026688
2018-2019,浙江,东部,0.2590543406829864
2018-2019,海南,东部,0.18443585906558604
2018-2019,湖北,中部,0.19667303583257456
2018-2019,湖南,中部,0.1993029911853022
2018-2019,甘肃,西部,0.17173122614646158
2018-2019,福建,东部,0.22593580508490396
2018-2019,贵州,西部,0.20644286525358854
2018-2019,辽宁,东北,0.24657712355687295
2018-2019,重庆,西部,0.2075859091964542
2018-2019,陕西,西部,0.17325146257887103
2018-2019,青海,西部,0.21247045648773732
2018-2019,黑龙江,东北,0.23137815302572318
2020-2021,上海,东部,0.40754984872681543
2020-2021,云南,西部,0.2358147725934327
2020-2021,内蒙古,西部,0.24873938473459808
2020-2021,北京,东部,0.3682244378033517
2020-2021,吉林,东北,0.21294657774061163
2020-2021,四川,西部,0.2721035671127555
2020-2021,天津,东部,0.24080210727750695
2020-2021,宁夏,西部,0.20929883771023755
2020-2021,安徽,中部,0.23700571093243245
2020-2021,山东,东部,0.2772597883275597
2020-2021,山西,中部,0.2337964044524386
2020-2021,广东,东部,0.4511826259366788
2020-2021,广西,西部,0.23185391960816482
2020-2021,新疆,西部,0.2483798524604255
2020-2021,江苏,东部,0.333612203620904
2020-2021,江西,中部,0.2360691634249683
2020-2021,河北,东部,0.2022251690960158
2020-2021,河南,中部,0.2040523457021985
2020-2021,浙江,东部,0.3011929715791244
2020-2021,海南,东部,0.20054622904392888
2020-2021,湖北,中部,0.22505007333076898
2020-2021,湖南,中部,0.23200087809192158
2020-2021,甘肃,西部,0.18539633859069266
2020-2021,福建,东部,0.24937030545269492
2020-2021,贵州,西部,0.22391906083581845
2020-2021,辽宁,东北,0.2552819720975247
2020-2021,重庆,西部,0.23145466209366117
2020-2021,陕西,西部,0.19302130923446503
2020-2021,青海,西部,0.23321055007289498
2020-2021,黑龙江,东北,0.23706276864819925
2022-2023,上海,东部,0.4600924572101303
2022-2023,云南,西部,0.24763040390884258
2022-2023,内蒙古,西部,0.25310437470572217
2022-2023,北京,东部,0.40370792142539075
2022-2023,吉林,东北,0.2179568747577697
2022-2023,四川,西部,0.29436158216559455
2022-2023,天津,东部,0.2556991301564848
2022-2023,宁夏,西部,0.2146686733485478
2022-2023,安徽,中部,0.2578148528061971
2022-2023,山东,东部,0.2919222591748819
2022-2023,山西,中部,0.23696445433142355
2022-2023,广东,东部,0.52826318116155
2022-2023,广西,西部,0.24024965799787104
2022-2023,新疆,西部,0.2650348155961607
2022-2023,江苏,东部,0.3756330243038317
2022-2023,江西,中部,0.24139498516494118
2022-2023,河北,东部,0.21635237346400438
2022-2023,河南,中部,0.2184350565926815
2022-2023,浙江,东部,0.33444907801608253
2022-2023,海南,东部,0.21188324111514972
2022-2023,湖北,中部,0.2546283211856702
2022-2023,湖南,中部,0.24809998785491783
2022-2023,甘肃,西部,0.19043404311794332
2022-2023,福建,东部,0.2664917791034566
2022-2023,贵州,西部,0.23676440159468015
2022-2023,辽宁,东北,0.2613528442073397
2022-2023,重庆,西部,0.24792727225485342
2022-2023,陕西,西部,0.21225224947323323
2022-2023,青海,西部,0.23462711111602272
2022-2023,黑龙江,东北,0.24377744595215328
