系统,指标,CRITIC权重,熵权,时间衰减权重,综合权重
低空经济,低空经济产业规模,0.02780209821733702,0.1437683962512044,0.007129863506490113,0.0813862611711832
低空经济,航空运输业就业人员数,0.06437149419033444,0.06963742699987396,0.05593148109944612,0.06664882079059566
低空经济,低空经济企业个数,0.07914434767126316,0.09145151873800483,0.018907907071683862,0.08187031424118162
低空经济,低空交通起降基础设施数量,0.09674339384642687,0.027703910304395667,0.099567992302623,0.06445113998538744
低空经济,互联网宽带接入端口,0.06833687193980585,0.028601146538511087,0.12641458708498915,0.051429869805395025
低空经济,民用通用机场数量,0.12679122251194475,0.022733087297144777,0.2248420455050598,0.08626108440844872
低空经济,航空邮路总长度,0.04661035307221403,0.09201127578609661,0.021735250515895737,0.06671022350162108
低空经济,民用机场旅客吞吐量,0.08130005944112624,0.0371272321281741,0.07031752475594713,0.05970180400812943
低空经济,货邮吞吐量,0.08082680735430314,0.09947901352672008,0.02865477866338698,0.08735794644158078
低空经济,移动电话基站密度,0.058788319383147665,0.08761294522930689,0.026810957417635742,0.07080408970320289
低空经济,公共安全财政支出,0.051559838024297325,0.02890013420100953,0.08710972190416424,0.04119801381206564
低空经济,科学研究和技术服务业城镇单位就业人员,0.05978847707192496,0.044484583077329866,0.06889220433989977,0.052496342896996964
低空经济,规模以上工业企业R&D经费,0.06116537160157034,0.07027457246269507,0.062132449012804285,0.06575504262689381
低空经济,高技术产业有效发明专利数,0.0444669096539621,0.12843047965617438,0.02153185568083867,0.08318851483161838
低空经济,低空经济政策数量,0.05230443602034214,0.027784277803358695,0.08002138113913539,0.04074053177569937
绿色交通,道路网密度,0.04960325353545739,0.057316686878849506,0.03716159747556638,0.05307295622169293
绿色交通,万人公交车标台数,0.043124320735014356,0.04502804066395883,0.03702100131124643,0.04375116734543959
绿色交通,公交站点500m覆盖率,0.05086640990443289,0.019865212943571384,0.07764526340304517,0.03648023185574872
绿色交通,新能源充电桩数量,0.029670736596981273,0.1751218201687295,0.00591111055949288,0.09859205435959366
绿色交通,人均道路面积,0.04940424205319018,0.02611872205236073,0.05141797875334852,0.0380034101360521
绿色交通,绿色交通出行分担率,0.04941009057979489,0.032275243818392634,0.05365638943236756,0.04119184449687846
绿色交通,私家车拥有量,0.06656747239771277,0.012136579033622094,0.10644116322113434,0.0416767223347248
绿色交通,城市化率,0.04933391437330151,0.03192654937154426,0.06487197976800146,0.04141377683687981
绿色交通,人口密度,0.04297117507603762,0.13966780268268378,0.014373014741819271,0.08866644534793669
绿色交通,人均GDP,0.042830711344516,0.049543172458443537,0.040189339231206836,0.045986435202737534
绿色交通,全年空气质量优良天数,0.07138956413915777,0.028006467018727294,0.09852859273765933,0.05225749068536116
绿色交通,可吸入颗粒物年均浓度,0.05458388601449863,0.017542970306469414,0.08442657508516722,0.03743391919692224
绿色交通,二氧化碳年排放量,0.06501736646566655,0.01113937805041881,0.0965506603610716,0.039967337203638174
绿色交通,高峰期平均车速,0.07325663076056939,0.04122356408231108,0.054271053901745345,0.0577631389536057
绿色交通,高峰拥堵延时指数,0.06417918604675184,0.015800342455688517,0.06465569170916716,0.0407526789090568
绿色交通,建成区绿化覆盖率,0.04984535206134662,0.07309878938724416,0.021804523223883453,0.060123437404915936
绿色交通,环保财政支出占比,0.06899419296922986,0.044118434378060525,0.052791630570255314,0.05699301822723052
绿色交通,道路运输财政支出占比,0.054884273738187404,0.03961391709613182,0.03302893943831813,0.04672013887882526
绿色交通,新能源车辆占有率,0.024067221208153064,0.14045630715279214,0.005253495075503659,0.07915379640275999
