年份,区域,区域平均综合发展水平
2016,东北,0.21531247667074438
2016,东部,0.2548957788242955
2016,中部,0.1909274010366635
2016,西部,0.19689158867433018
2017,东北,0.21382913905513043
2017,东部,0.25839127601712236
2017,中部,0.19175268648619884
2017,西部,0.20207068276351448
2018,东北,0.222993545185737
2018,东部,0.2713282444891968
2018,中部,0.20383026830862816
2018,西部,0.2118309482183552
2019,东北,0.23514728148395517
2019,东部,0.2830303806367435
2019,中部,0.21155771904813517
2019,西部,0.20920033685918887
2020,东北,0.23704119401437196
2020,东部,0.2982611650272275
2020,中部,0.22652303031172694
2020,西部,0.2277836597958044
2021,东北,0.2334289550424892
2021,东部,0.30834722122015007
2021,中部,0.22974451258031034
2021,西部,0.22964871374827628
2022,东北,0.23417140489199262
2022,东部,0.3199770106795479
2022,中部,0.23203318242840773
2022,西部,0.23492537130370816
2023,东北,0.2482899239509809
2023,东部,0.34942391960281366
2023,中部,0.25431926650445885
2023,西部,0.24511828183071466
