年份,省份,区域,双系统综合发展指数_改进模型,全国排名_改进模型,双系统综合发展指数_传统模型,全国排名_传统模型,指数差值_改进减传统,排名差值_改进减传统
2016,上海,东部,0.3501889282419157,1.0,0.3501889282419156,1.0,1.1102230246251565e-16,0.0
2016,北京,东部,0.32850222957367203,2.0,0.3285022295736719,2.0,1.1102230246251565e-16,0.0
2016,广东,东部,0.31164821613115834,3.0,0.31164821613115834,3.0,0.0,0.0
2016,江苏,东部,0.26837113264823453,4.0,0.26837113264823453,4.0,0.0,0.0
2016,浙江,东部,0.234631490385239,5.0,0.23463149038523895,5.0,5.551115123125783e-17,0.0
2016,辽宁,东北,0.23023889925655106,6.0,0.23023889925655106,6.0,0.0,0.0
2016,山西,中部,0.229551366173534,7.0,0.229551366173534,7.0,0.0,0.0
2016,内蒙古,西部,0.22621553643578285,8.0,0.2262155364357828,8.0,5.551115123125783e-17,0.0
2016,山东,东部,0.22578762342195008,9.0,0.22578762342195008,9.0,0.0,0.0
2016,天津,东部,0.21770126724749833,10.0,0.21770126724749833,10.0,0.0,0.0
2016,福建,东部,0.2143930090209935,11.0,0.21439300902099348,11.0,2.7755575615628914e-17,0.0
2016,四川,西部,0.21422846458534273,12.0,0.21422846458534267,12.0,5.551115123125783e-17,0.0
2016,黑龙江,东北,0.2118866775622102,13.0,0.21188667756221014,13.0,5.551115123125783e-17,0.0
2016,云南,西部,0.20490644305775654,14.0,0.20490644305775654,14.0,0.0,0.0
2016,青海,西部,0.19879809220715022,15.0,0.19879809220715022,15.0,0.0,0.0
2016,广西,西部,0.19635962743509217,16.0,0.19635962743509214,16.0,2.7755575615628914e-17,0.0
2016,新疆,西部,0.19593981277965197,17.0,0.19593981277965195,17.0,2.7755575615628914e-17,0.0
2016,江西,中部,0.19079523826703854,18.0,0.1907952382670385,18.0,2.7755575615628914e-17,0.0
2016,重庆,西部,0.18714606804503964,19.0,0.1871460680450396,19.0,2.7755575615628914e-17,0.0
2016,吉林,东北,0.18704438837503942,20.0,0.18704438837503942,20.0,0.0,0.0
2016,河北,东部,0.18561264138470845,21.0,0.1856126413847084,21.0,5.551115123125783e-17,0.0
2016,贵州,西部,0.1842635752504171,22.0,0.1842635752504171,22.0,0.0,0.0
2016,安徽,中部,0.18385650263898756,23.0,0.18385650263898753,23.0,2.7755575615628914e-17,0.0
2016,宁夏,西部,0.17911034649649715,24.0,0.17911034649649715,24.0,0.0,0.0
2016,湖北,中部,0.1758455539100065,25.0,0.17584555391000647,25.0,2.7755575615628914e-17,0.0
2016,海南,东部,0.17449071642109448,26.0,0.17449071642109443,26.0,5.551115123125783e-17,0.0
2016,湖南,中部,0.17439620499605005,27.0,0.17439620499605005,27.0,0.0,0.0
2016,河南,中部,0.16404972872851775,28.0,0.16404972872851775,28.0,0.0,0.0
2016,陕西,西部,0.1610738872830866,29.0,0.16107388728308658,29.0,2.7755575615628914e-17,0.0
2016,甘肃,西部,0.14657510721622755,30.0,0.14657510721622752,30.0,2.7755575615628914e-17,0.0
2017,上海,东部,0.35830905003812663,1.0,0.35830905003812663,1.0,0.0,0.0
2017,广东,东部,0.34512135756579165,2.0,0.34512135756579165,2.0,0.0,0.0
2017,北京,东部,0.3290158901005521,3.0,0.3290158901005521,3.0,0.0,0.0
2017,江苏,东部,0.27161151836096903,4.0,0.271611518360969,4.0,5.551115123125783e-17,0.0
2017,浙江,东部,0.23836412894176984,5.0,0.23836412894176978,5.0,5.551115123125783e-17,0.0
2017,山东,东部,0.23168017771202193,6.0,0.23168017771202193,6.0,0.0,0.0
2017,辽宁,东北,0.2259647526768546,7.0,0.22596475267685456,7.0,2.7755575615628914e-17,0.0
2017,山西,中部,0.22339012772817657,8.0,0.22339012772817657,8.0,0.0,0.0
2017,四川,西部,0.21962205552402164,9.0,0.21962205552402164,9.0,0.0,0.0
2017,内蒙古,西部,0.21527811955917936,10.0,0.2152781195591793,10.0,5.551115123125783e-17,0.0
2017,黑龙江,东北,0.21101055623958473,11.0,0.21101055623958467,11.0,5.551115123125783e-17,0.0
2017,福建,东部,0.20959678186089054,12.0,0.2095967818608905,12.0,2.7755575615628914e-17,0.0
2017,新疆,西部,0.20824741393780632,13.0,0.20824741393780624,13.0,8.326672684688674e-17,0.0
2017,天津,东部,0.20702092612181108,14.0,0.207020926121811,14.0,8.326672684688674e-17,0.0
2017,云南,西部,0.20589418738227594,15.0,0.2058941873822759,15.0,2.7755575615628914e-17,0.0
2017,青海,西部,0.20582767982759012,16.0,0.20582767982759012,16.0,0.0,0.0
2017,贵州,西部,0.20288109606305965,17.0,0.20288109606305965,17.0,0.0,0.0
2017,广西,西部,0.19615856154836098,18.0,0.19615856154836098,18.0,0.0,0.0
2017,重庆,西部,0.19226206122196624,19.0,0.19226206122196624,19.0,0.0,0.0
2017,安徽,中部,0.1872414936652351,20.0,0.18724149366523507,20.0,2.7755575615628914e-17,0.0
2017,江西,中部,0.1867489784565755,21.0,0.18674897845657545,21.0,5.551115123125783e-17,0.0
2017,吉林,东北,0.18495865171122147,22.0,0.18495865171122144,22.0,2.7755575615628914e-17,0.0
2017,湖北,中部,0.18303081324492795,23.0,0.18303081324492793,23.0,2.7755575615628914e-17,0.0
2017,宁夏,西部,0.18111786657762655,24.0,0.18111786657762655,24.0,0.0,0.0
2017,湖南,中部,0.17806085868651178,25.0,0.17806085868651175,25.0,2.7755575615628914e-17,0.0
2017,河北,东部,0.1763802732988881,26.0,0.17638027329888809,26.0,2.7755575615628914e-17,0.0
2017,海南,东部,0.1760623614351608,27.0,0.17606236143516077,27.0,2.7755575615628914e-17,0.0
2017,陕西,西部,0.17239520028536642,28.0,0.1723952002853664,28.0,2.7755575615628914e-17,0.0
2017,河南,中部,0.16336764770099774,29.0,0.1633676477009977,29.0,2.7755575615628914e-17,0.0
2017,甘肃,西部,0.15041269312010797,30.0,0.15041269312010797,30.0,0.0,0.0
2018,上海,东部,0.3750543519975609,1.0,0.3750543519975609,1.0,0.0,0.0
2018,广东,东部,0.3705011688767148,2.0,0.37050116887671475,2.0,5.551115123125783e-17,0.0
2018,北京,东部,0.3438442275313371,3.0,0.34384422753133703,3.0,5.551115123125783e-17,0.0
2018,江苏,东部,0.27749443543307123,4.0,0.2774944354330712,4.0,5.551115123125783e-17,0.0
2018,浙江,东部,0.2518898077411378,5.0,0.2518898077411378,5.0,0.0,0.0
2018,山东,东部,0.23990359258212957,6.0,0.23990359258212954,6.0,2.7755575615628914e-17,0.0
2018,四川,西部,0.23973782793693393,7.0,0.23973782793693388,7.0,5.551115123125783e-17,0.0
2018,山西,中部,0.2385126899471387,8.0,0.23851268994713865,8.0,5.551115123125783e-17,0.0
2018,辽宁,东北,0.22953638724915276,9.0,0.22953638724915276,9.0,0.0,0.0
2018,内蒙古,西部,0.22667886659294967,10.0,0.2266788665929496,10.0,5.551115123125783e-17,0.0
2018,福建,东部,0.22401977140949003,11.0,0.22401977140949003,11.0,0.0,0.0
2018,天津,东部,0.22329142780417266,12.0,0.22329142780417266,12.0,0.0,0.0
2018,云南,西部,0.21986294063048661,13.0,0.21986294063048656,13.0,5.551115123125783e-17,0.0
2018,新疆,西部,0.2184509420710784,14.0,0.21845094207107835,14.0,5.551115123125783e-17,0.0
