区域,年份,情景,预测值
东北,2024,基准情景,0.24891639025490764
东北,2025,基准情景,0.24906218534410493
东北,2026,基准情景,0.2496690478024387
东北,2027,基准情景,0.24956268494134834
东北,2028,基准情景,0.24975294635973647
东北,2029,基准情景,0.25060373732192837
东北,2030,基准情景,0.25035121632659046
东部,2024,基准情景,0.3826253611697964
东部,2025,基准情景,0.3837580850125868
东部,2026,基准情景,0.38442820776892817
东部,2027,基准情景,0.3844341875127494
东部,2028,基准情景,0.3853154435924414
东部,2029,基准情景,0.3854940920799024
东部,2030,基准情景,0.3863366938542475
中部,2024,基准情景,0.26780859058733963
中部,2025,基准情景,0.2685699543021768
中部,2026,基准情景,0.2688107628834287
中部,2027,基准情景,0.2695480785051273
中部,2028,基准情景,0.26978231340864284
中部,2029,基准情景,0.2697095471754931
中部,2030,基准情景,0.27006222244867256
西部,2024,基准情景,0.2442269775227671
西部,2025,基准情景,0.2448897054883736
西部,2026,基准情景,0.24535694740090203
西部,2027,基准情景,0.24564807783544962
西部,2028,基准情景,0.2462008986838333
西部,2029,基准情景,0.24714070580317157
西部,2030,基准情景,0.2475048127755663
东北,2024,加大投入情景,0.24940125252414344
东北,2025,加大投入情景,0.24926550607503353
东北,2026,加大投入情景,0.24971484850741424
东北,2027,加大投入情景,0.2496595199981454
东北,2028,加大投入情景,0.24989953903972495
东北,2029,加大投入情景,0.2508940296642519
东北,2030,加大投入情景,0.2505133701444398
东部,2024,加大投入情景,0.38285889060969314
东部,2025,加大投入情景,0.38390203730249417
东部,2026,加大投入情景,0.3846028628864769
东部,2027,加大投入情景,0.3846160210105544
东部,2028,加大投入情景,0.38555294915531035
东部,2029,加大投入情景,0.38574267932253
东部,2030,加大投入情景,0.38657098162302506
中部,2024,加大投入情景,0.2679565874890553
中部,2025,加大投入情景,0.2685846105098817
中部,2026,加大投入情景,0.2688644277856658
中部,2027,加大投入情景,0.26964717384620096
中部,2028,加大投入情景,0.26981381064792265
中部,2029,加大投入情景,0.26971474319433025
中部,2030,加大投入情景,0.2700995659042771
西部,2024,加大投入情景,0.2446620244000349
西部,2025,加大投入情景,0.24517315263989642
西部,2026,加大投入情景,0.2455591563994345
西部,2027,加大投入情景,0.24585542765525617
西部,2028,加大投入情景,0.24627699519349425
西部,2029,加大投入情景,0.2471178569164967
西部,2030,加大投入情景,0.24756295856415553
东北,2024,重点投入情景,0.24904254817087132
东北,2025,重点投入情景,0.2489380028943602
东北,2026,重点投入情景,0.24971249488086122
东北,2027,重点投入情景,0.2496187498945214
东北,2028,重点投入情景,0.2496581995851974
东北,2029,重点投入情景,0.2505798963816552
东北,2030,重点投入情景,0.2503895733092308
东部,2024,重点投入情景,0.3825850265550705
东部,2025,重点投入情景,0.38382188632296727
东部,2026,重点投入情景,0.38448542557200127
东部,2027,重点投入情景,0.38453734104023585
东部,2028,重点投入情景,0.38529945440653546
东部,2029,重点投入情景,0.38542801818090144
东部,2030,重点投入情景,0.3863553352938812
中部,2024,重点投入情景,0.2679531642808869
中部,2025,重点投入情景,0.2685996377024084
中部,2026,重点投入情景,0.2688667144213525
中部,2027,重点投入情景,0.2696692822127275
中部,2028,重点投入情景,0.26982273997904016
中部,2029,重点投入情景,0.26971087759522994
中部,2030,重点投入情景,0.27004172731284987
西部,2024,重点投入情景,0.24470423982917297
西部,2025,重点投入情景,0.24512698613500514
西部,2026,重点投入情景,0.2455597734437916
西部,2027,重点投入情景,0.24585170811893356
西部,2028,重点投入情景,0.24626216749528537
西部,2029,重点投入情景,0.24710963595249763
西部,2030,重点投入情景,0.247555889662985
