省份,2024,2025,2026,2027,2028,2029,2030
辽宁,0.275017792712242,0.27516052193654333,0.2756605091675395,0.2755868614211224,0.2758082796488004,0.2762438607766791,0.2757693723515222
吉林,0.246633493762298,0.24674489840500494,0.2486010623536896,0.24743447962993786,0.24749195171080443,0.24873972168547542,0.24843986420414058
黑龙江,0.2254763580380739,0.22490858834153238,0.22487591312135455,0.225834908632504,0.22567436739598737,0.22675610668281102,0.22695948337202965
上海,0.5183867302719292,0.5191641073156894,0.517622478683507,0.5181092327895295,0.518718982131563,0.5187971173484044,0.5178243383226369
北京,0.48249027024399377,0.48500174600918267,0.4926734684829996,0.4927162764119148,0.49271075699955974,0.4916766482276228,0.4926287247331339
广东,0.45567898347001456,0.45563940463967834,0.45489032829275544,0.45513216179153426,0.45534526469165526,0.4560134500084935,0.45628565975949453
浙江,0.43711353606831144,0.43769944168315167,0.437828089601898,0.43849209437217335,0.43746579903308214,0.43836725284917555,0.4389289833430544
江苏,0.42895035855146896,0.43133445151486005,0.4314208762043516,0.43083118493334543,0.4307809605935928,0.4316153406833695,0.43188281017253777
天津,0.3644746940871835,0.3662491525913844,0.3653758601045078,0.365896240172197,0.3701375593601906,0.37009366921136616,0.37578412943845574
福建,0.3320826695552204,0.33311056458899574,0.33535872003193296,0.3346452662209,0.3348662870346486,0.3356760432530515,0.3367725841851953
山东,0.3259075488030876,0.32819771289782573,0.32808905502574215,0.3278324535652944,0.32945757058626174,0.3286831449889417,0.32886056127206675
河北,0.24223222701877012,0.24322181840291132,0.24281825007755362,0.24275659838342567,0.24352862962316582,0.24355737460051516,0.24428020310404608
海南,0.23853324748072566,0.23860046358599338,0.23877712921476468,0.2389619017620444,0.23998273401163503,0.23980014063807417,0.240305358608191
湖北,0.2945663120084172,0.29701739315182024,0.2969092099543708,0.29696682298279203,0.29712763062618197,0.2974598225010976,0.2980491579663812
安徽,0.29265999251573505,0.29238305565545,0.2933736951360401,0.29469307826830465,0.29499850817651674,0.29486364572649254,0.2947049238090288
湖南,0.27111243990302125,0.2712598907395675,0.2717029334960015,0.27397740261758013,0.2731107277711872,0.2733572217231856,0.2739912633752846
江西,0.26557707807521075,0.2654709791625512,0.26626648562114047,0.2667068284710793,0.26617233187905603,0.26592973085726807,0.26602981975557655
河南,0.25300438720328766,0.2545926157501873,0.2540994755529979,0.2543437719485728,0.255707929649663,0.25506323708782913,0.2556743958697346
山西,0.2307987759796494,0.23087389175487397,0.23084848676756428,0.23132778898803594,0.23181931177163598,0.23159160767550657,0.23180080310109333
重庆,0.34473816696597415,0.344406730270158,0.34635467488506133,0.34935727306307024,0.3498997942977212,0.35287236070704303,0.35310668976961035
宁夏,0.2694718154607583,0.2692467714620738,0.26950948566129695,0.26903359021475687,0.2704110546049787,0.26918995694672243,0.269211114451939
四川,0.2627163854456478,0.264109821841211,0.2641587513447875,0.2648353582075651,0.2648357792216634,0.26456692056714864,0.2646520699102684
青海,0.2580861983813306,0.25900376873122466,0.25900285176431936,0.2586632177021734,0.25862626855188314,0.2593556118990889,0.259087263637069
陕西,0.25224490220014273,0.2539378817471146,0.25409020001992644,0.25408011382341245,0.25464206599004036,0.25480295242077367,0.25473724737344194
广西,0.23864613499847107,0.2386034650557523,0.23938534994548005,0.23932950223841606,0.239424060535942,0.24034067169536813,0.24292570798972501
贵州,0.23757876807106326,0.23805303532361155,0.23795595937818498,0.23811826269591382,0.23819531182181036,0.23905826177719847,0.2392317491429262
云南,0.22191492221012318,0.22253987473419412,0.22273186024830266,0.22283451265125784,0.22333986227210825,0.22424847682164126,0.2244842600268225
内蒙古,0.21731511092819344,0.21752120798132366,0.2180573738337576,0.21903534069746675,0.21893492830860412,0.22303947018427736,0.22364604436109367
新疆,0.21694806831642605,0.21679773293650817,0.21704021738261522,0.2167850049323813,0.2180527188202806,0.21817993455498164,0.2184472661736375
甘肃,0.17208616514277203,0.1721765574018843,0.17287078341797524,0.1722966130818555,0.17252199802310664,0.1725513779032303,0.1735853734563017
